"","voted_for","gender","education"
"522","Biden","Female","4-year"
"523","Biden","Male","Post-grad"
"524","Trump","Male","4-year"
"525","Trump","Female","4-year"
"526","Biden","Male","Some college"
"527","Trump","Male","4-year"
"528","Biden","Female","4-year"
"529","Biden","Female","Some college"
"530","Trump","Female","2-year"
"531","Biden","Female","4-year"
"532","Biden","Female","Post-grad"
"533","Biden","Male","Post-grad"
"534","Trump","Male","4-year"
"535","Biden","Male","4-year"
"536","Biden","Female","4-year"
"537","Biden","Male","4-year"
"538","Biden","Male","4-year"
"539","Trump","Female","Post-grad"
"540","Trump","Male","Post-grad"
"541","Biden","Female","Post-grad"
"542","Trump","Female","4-year"
"543","Biden","Male","Post-grad"
"544","Biden","Female","Post-grad"
"545","Biden","Female","Post-grad"
"546","Biden","Male","Post-grad"
"547","Biden","Female","Some college"
"548","Biden","Male","Post-grad"
"549","Biden","Male","Post-grad"
"550","Biden","Male","4-year"
"551","Trump","Female","4-year"
"552","Biden","Female","Post-grad"
"553","Biden","Female","4-year"
"554","Trump","Male","Some college"
"555","Biden","Female","4-year"
"556","Biden","Male","4-year"
"557","Biden","Female","2-year"
"558","Trump","Male","4-year"
"559","Trump","Male","Post-grad"
"560","Biden","Female","Some college"
"561","Trump","Female","High school graduate"
"562","Biden","Male","4-year"
"563","Biden","Female","Some college"
"564","Biden","Female","4-year"
"565","Biden","Female","Post-grad"
"566","Biden","Male","Post-grad"
"567","Biden","Female","4-year"
"568","Trump","Female","2-year"
"569","Biden","Male","Post-grad"
"570","Trump","Male","4-year"
"571","Trump","Male","4-year"
"572","Trump","Female","2-year"
"573","Trump","Female","Post-grad"
"574","Trump","Male","4-year"
"575","Biden","Female","4-year"
"576","Biden","Female","4-year"
"577","Biden","Female","4-year"
"578","Trump","Female","Some college"
"579","Biden","Male","4-year"
"580","Trump","Female","Some college"
"581","Biden","Female","4-year"
"582","Biden","Female","Some college"
"583","Biden","Female","Post-grad"
"584","Trump","Male","High school graduate"
"585","Trump","Male","4-year"
"586","Biden","Male","Post-grad"
"587","Trump","Female","Post-grad"
"588","Trump","Male","4-year"
"589","Biden","Male","2-year"
"590","Biden","Female","Post-grad"
"591","Trump","Male","4-year"
"592","Trump","Male","4-year"
"593","Biden","Male","4-year"
"594","Biden","Male","Some college"
"595","Biden","Male","Post-grad"
